username,content,likes,published_at
@intheworldofai,"Want to HIRE us to implement AI into your Business or Workflow? Fill out this work form: https://td730kenue7.typeform.com/to/WndMD5l7
💗 Thank you so much for watching guys! I would highly appreciate it if you subscribe (turn on notifcation bell), like, and comment what else you want to see! 
📆 Book a 1-On-1 Consulting Call WIth Me: https://calendly.com/worldzofai/ai-consulting-call-1
🔥 Become a Patron (Private Discord): https://patreon.com/WorldofAi
🧠 Follow me on Twitter: https://twitter.com/intheworldofai 
Love y'all and have an amazing day fellas. Thank you so much guys! Love yall!",2,2024-07-17 14:27:23
@intheworldofai,Introducing GPT-4o Mini: Most Cost-Efficient Small Model! https://youtu.be/4cXDiLZGqqE,0,2024-07-19 14:27:23
@intheworldofai,Langflow: Create AI Agents & Apps With a Drag-and-Drop UI - Opensource! Better Than Flowise? - https://youtu.be/ZWf2_f4Kbbo,0,2024-07-18 14:27:23
@NolenFelten,256k token context window? Nice!,0,2024-07-18 14:27:23
@KOMYSH,hey! what about VectorVein ?,0,2024-07-18 14:27:23
@dDesirie,The real question is how is it compared to Claude 3.5 Sonnet? Because most people who use it in real world coding tasks would only need the best LLM available.,4,2024-07-18 14:27:23
@Tarantella.Serpentine,I'm going to Need a New Computer for this.. Anyone got any Tips on what to get?,1,2024-07-18 14:27:23
@Viewable11,"Mistral's comparison omits CodeQwen. Therefore the comparison is useless. It also omits DeepSeek Coder V2 Lite, which is another reason for it being a worthless comparison",4,2024-07-17 14:27:23
@v0idbyt3,omg bro im done for,0,2024-07-17 14:27:23
@dyslexictank8828,👍👍👍👍👍,0,2024-07-17 14:27:23
@intheworldofai,"[Must Watch]:
Tribe AI: Rapidly Build & Coordinate Multi-Agent Teams With A Drag-and-Drop UI!: https://youtu.be/KnYneaVaWxo?si=QK2QnhaNqlHou_IX
Tabby: FREE Self-hosted AI coding Assistant! Develop Apps, Debug, Code Completion, etc!: https://youtu.be/8lc5jGwIqRo?si=RsmJULZZ3SXIut3G
How To Build Your Own AI Chat with Docs (PDF, TXT, HTML, PPTX, DOCX, and More)!: https://youtu.be/4ZhltfGS5xE?si=QGtc0iK-LwuYRsbA",1,2024-07-17 14:27:23
@SahilP2648,"You could try using some AI tools to eliminate the gasps for air after you finish your sentences. I hadn't noticed in your earlier videos, but you could take a look since it's kind of distracting.",0,2024-07-17 14:27:23
@SahilP2648,"Claude 3.5 Sonnet is still the best for coding, and after that it would be Claude Opus 3.5 so this is kind of irrelevant.",0,2024-07-17 14:27:24
@Viewable11," @SahilP2648  The title of the video is about ""Opensource Coding Model"". Mistral compares its model to open source models. No Claude model is open source.",3,2024-07-18 14:27:24
